Country Name;Country Code;Series Name;Series Code;2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];average
Afghanistan;AFG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;10.712;0.9883;0.9729;10.588;0.9392;13.338;14.774;20.636;40.296;64.864;80.863;118.006;101.766;86.911;82.797;87.196;79.373;85.469;81.289;74.479;54.687;56.392;7.316
Aruba;ABW;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.2461;0.2541;0.2726;0.3166;0.327;0.3582;0.3856;0.4245;0.4208;0.4581;0.4501;0.2754;0.3685;0.4249;0.4353;0.4367;0.4537;0.4268;0.4611;0.5338;0.4536;0.438;0.4549
Bangladesh;BGD;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;264.911;320.811;337.648;353.627;373.599;397.724;427.606;451.995;505.364;537.296;595.502;633.987;68.091;718.655;756.482;846.333;928.755;1.001.955;109.984;1.071.606;997.782;1.053.168;982.963.777.777.778
Bolivia;BOL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;81.038;78.133;83.467;89.081;93.865;98.783;10.709;119.249;127.492;135.964;147.076;160.021;169.694;18.024;19.309;198.345;212.787;21.648;21.851;218.707;184.606;218.668;208.976.444.444.444
Brazil;BRA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;3.444.557;3.476.463;3.481.145;3.437.261;3.625.668;365.166;3.702.005;389.064;4.092.582;3.827.997;436.393;4.583.598;4.952.275;5.203.719;5.451.421;5.155.152;4.808.269;4.927.353;468.764;468.014;4.476.954;5.035.387;487.666.888.888.889
Cambodia;KHM;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;20.009;21.872;22.475;24.176;24.191;27.008;30.073;36.965;40.967;48.736;51.579;53.633;56.303;56.916;70.289;85.142;105.914;118.491;123.362;160.476;166.003;175.165;131.225.666.666.667
Chad;TCD;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.2476;0.2456;0.2642;0.3931;0.4397;0.464;0.4841;0.5556;0.4743;0.482;0.509;0.669;11.972;1.299;1.396;15.922;16.224;2.097;22.064;22.603;19.781;21.243;19.319
China;CHN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;36.599.498;38.379.909;4143.91;47.850.127;55.150.568;62.584.126;69.443.109;7.547.621;77.749.554;83.402.013;91.249.114;99.759.314;102.888.595;10.782.993;109.097.228;107.689.819;107.860.992;110.261.102;11.553.536;118.193.583;120.373.161;127.176.553;115.873.564.666.667
Czechia;CZE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;131.655;1.316.423;1.265.611;1.299.124;130.888;128.542;1.297.416;131.169;1.253.114;1.189.909;120.345;117.555;1.134.623;108.945;1.066.095;1.075.739;1.090.102;1.098.664;1.086.618;1.032.747;942.044;1.002.897;104.559.477.777.778
Finland;FIN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;572.604;632.357;653.519;737.414;70.017;577.818;69.362;674.393;590.946;565.001;65.397;57.768;519.019;530.017;490.463;456.594;484.776;455.711;471.684;437.069;390.201;390.503;438.916.444.444.444
Kazakhstan;KAZ;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;1.304.814;1.277.442;142.266;1.584.744;1.701.823;1.818.441;2.035.088;2.139.444;253.123;2.253.866;241.989;2.583.271;2.562.936;2.752.521;2.284.569;2.013.691;2.115.262;2.243.208;2.259.918;2.146.891;222.677;2.352.223;223.348.833.333.333
Mali;MLI;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.8217;0.8427;0.8759;0.8952;0.9222;0.9507;11.485;13.647;15.792;19.906;20.062;21.557;2.279;27.302;29.284;35.238;44.396;49.105;52.932;57.857;59.354;64.397;510.914.444.444.444
New Zealand;NZL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;329.467;34.838;350.338;359.282;355.247;361.872;362.924;350.388;361.512;333.764;334.113;326.476;346.971;345.168;352.338;353.377;347.046;362.127;358.545;375.872;346.784;345.434;351.692.666.666.667
Qatar;QAT;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;317.716;324.497;362.212;382.895;411.923;435.827;490.111;552.063;597.769;612.409;692.721;782.509;81.909;88.873;952.995;988.829;1.004.703;1.015.323;1.011.643;1.026.446;101.943;1.065.491;101.233.777.777.778
Tanzania;TZA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;30.681;32.504;37.077;39.309;53.035;59.314;61.828;60.578;62.215;60.544;70.854;81.329;97.231;10.886;102.007;108.771;109.902;120.164;124.214;152.689;149.115;165.412;133.562.333.333.333
Viet Nam;VNM;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;565.588;621.131;730.981;776.578;919.428;1.005.562;103.157;1.143.032;1.257.729;1.408.047;1.567.592;1.570.664;156.776;1.637.998;1.796.174;2.015.078;2.239.845;2.297.289;2.823.421;333.616;3.431.842;3.376.902;2.732.863
Thailand;THA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;1.743.879;1.830.435;1.945.276;2.023.353;2.204.767;2.287.033;2.322.107;237.214;2.383.048;2.314.285;2.456.832;2.460.704;264.102;2.753.196;2.717.352;2.790.886;2.753.767;274.037;271.251;2.815.515;2.742.991;2.762.881;276.230.333.333.333
Russian Federation;RUS;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;16.587.939;16.664.651;1657.09;17.189.829;17.191.019;1.719.005;17.553.481;17.585.107;1.744.612;16.429.749;17.198.096;18.064.603;17.936.343;17.380.707;1.720.489;17.268.321;17.003.653;17.305.225;18.068.014;18.770.238;17.892.514;19.326.954;179.922.446.666.667
United Kingdom;GBR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;5.472.459;5.612.174;5.454.631;5.592.362;5.589.677;5.565.733;5.570.976;5.471.158;5.313.931;481.789;4.976.151;4.578.869;4.807.009;4.674.401;4.289.045;4.142.155;3.941.968;3.792.145;3.733.339;357.881;3.205.414;3.390.646;371.995.833.333.333
United States;USA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;59.291.884;5.878.074;57.271.688;5.793.304;58.803.744;58.884.987;57.903.898;58.731.342;56.896.995;52.735.107;55.219.663;53.081.164;50.882.532;52.252.858;5.244.399;51.335.565;5.029.157;49.596.319;51.175.686;49.669.703;44.667.314;47.688.734;494.896.314.444.444
India;IND;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;9.956.306;10.117.831;10.498.574;10.817.621;11.667.929;12.165.123;12.983.716;14.138.413;15.035.883;16.435.343;17.441.906;18.512.507;20.235.723;20.841.511;22.434.612;22.604.828;23.037.363;24.341.238;25.736.063;2.541.366;23.206.787;25.281.335;24.331.803
