Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],average
Afghanistan,AFG,"Population, total",SP.POP.TOTL,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,37364593.4
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,29.963328887049,30.1866396823207,32.1976235377091,34.7195467856431,36.112339205495,37.4272741210923,39.0091593456296,39.7149793784401,40.5182205663646,41.9871931680542,43.2204467749107,44.8448507428361,46.7112506324456,48.3590282569032,50.160541526762,51.7509145546816,53.1042837649295,54.6485411587937,56.2482314520951,57.9082516903546,59.7522806371985,61.4805544056544,55.6316998988087
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Aruba,ABW,"Population, total",SP.POP.TOTL,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,105641.2
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,495.005555555556,503.838888888889,509.894444444444,515.005555555556,519.666666666667,524.905555555556,531.144444444444,537.705555555556,544.422222222222,551.177777777778,557.45,562.711111111111,567.288888888889,571.555555555556,575.522222222222,579.205555555556,582.633333333333,585.772222222222,588.677777777778,591.344444444444,592.138888888889,591.872222222222,585.895833333333
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Bangladesh,BGD,"Population, total",SP.POP.TOTL,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,164548790.4
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,992.49694245986,1011.52711070139,1030.49724206806,1048.65334562495,1066.21898286856,1082.52738726281,1095.71199969271,1107.28995928401,1117.1646155028,1127.04010140585,1139.97955750173,1153.96024429592,1168.40016132749,1183.29983099024,1198.13550741338,1212.49135745563,1227.50686025966,1242.94356610586,1257.46299454559,1271.53892601982,1286.17155258508,1301.03903357148,1249.66122474456
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630,147630,147977,147570,147570,147570,147570,147643.375
Bolivia,BOL,"Population, total",SP.POP.TOTL,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,11671815.5
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,7.93192652081602,8.0735567248223,8.21617557463307,8.36091387427305,8.50759623373027,8.65631680974799,8.80888304255516,8.9644161358811,9.12082802547771,9.27842425920798,9.43715498938429,9.59683005630943,9.75694359826456,9.91724268439029,10.0775288470414,10.2373165328164,10.3969491368965,10.5562014215822,10.7143958275639,10.8717022062217,11.0183347179913,11.1506249423059,10.6278817040524
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580
Brazil,BRA,"Population, total",SP.POP.TOTL,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,210522033.4
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,21.0422079553585,21.3219545257677,21.5929243826976,21.8504688842254,22.1008553338422,22.3491511269254,22.591232259809,22.8255871521654,23.0520566776819,23.2728273276112,23.4924866058716,23.711651396124,23.9261016206955,24.1347676636189,24.3426946665167,24.5495056316357,24.7494751224555,24.9463349501205,25.1451389902538,25.3385176606278,25.5076253807665,25.6428132335663,25.0277632044929
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770
Cambodia,KHM,"Population, total",SP.POP.TOTL,12118841,12338192,12561779,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16101514.8
